Point ID,arc_length,Co,CpMean,nut,p,phi,phi_0,pMean,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,vtkValidPointMask,yPlus
42,0.882,0.002312,0.0489785,9.54903e-14,0.000794651,nan,nan,0.00391828,1,-9.618,0.005,9.66985,0.404517,0.404517,-0.000754585,0,0.404518,-0.000754515,0,0.404518,0.406643,-0.00104063,0,0.406645,1,0
43,0.903,0.00231205,0.0489589,9.45728e-14,0.000790719,nan,nan,0.00391671,1,-9.597,0.005,9.64896,0.404523,0.404523,-0.000771901,0,0.404523,-0.00077183,0,0.404523,0.406657,-0.00106608,0,0.406658,1,0
44,0.924,0.00231209,0.0489393,9.36552e-14,0.000786787,nan,nan,0.00391514,1,-9.576,0.005,9.62807,0.404528,0.404528,-0.000789217,0,0.404529,-0.000789144,0,0.404529,0.40667,-0.00109153,0,0.406672,1,0
45,0.945,0.00231214,0.0489196,9.27376e-14,0.000782854,nan,nan,0.00391357,1,-9.555,0.005,9.60719,0.404534,0.404534,-0.000806533,0,0.404535,-0.000806458,0,0.404535,0.406684,-0.00111698,0,0.406685,1,0
46,0.966,0.00231218,0.0489,9.182e-14,0.000778922,nan,nan,0.003912,1,-9.534,0.005,9.5863,0.40454,0.40454,-0.000823849,0,0.404541,-0.000823772,0,0.404541,0.406697,-0.00114243,0,0.406699,1,0
47,0.987,0.00231223,0.0488804,9.09024e-14,0.00077499,nan,nan,0.00391043,1,-9.513,0.005,9.56542,0.404546,0.404546,-0.000841166,0,0.404547,-0.000841087,0,0.404547,0.406711,-0.00116788,0,0.406712,1,0
48,1.008,0.00231228,0.0488608,8.99848e-14,0.000771058,nan,nan,0.00390886,1,-9.492,0.005,9.54453,0.404552,0.404552,-0.000858482,0,0.404553,-0.000858402,0,0.404552,0.406724,-0.00119333,0,0.406726,1,0
49,1.029,0.00231232,0.0488412,8.90672e-14,0.000767126,nan,nan,0.0039073,1,-9.471,0.005,9.52365,0.404557,0.404557,-0.000875798,0,0.404558,-0.000875716,0,0.404558,0.406737,-0.00121878,0,0.406739,1,0
50,1.05,0.00231237,0.0488216,8.81497e-14,0.000763194,nan,nan,0.00390573,1,-9.45,0.005,9.50276,0.404563,0.404563,-0.000893114,0,0.404564,-0.00089303,0,0.404564,0.406751,-0.00124423,0,0.406753,1,0
51,1.071,0.00231241,0.048802,8.72321e-14,0.000759261,nan,nan,0.00390416,1,-9.429,0.005,9.48188,0.404569,0.404569,-0.00091043,0,0.40457,-0.000910344,0,0.40457,0.406764,-0.00126968,0,0.406766,1,0
52,1.092,0.00231246,0.0487824,8.63145e-14,0.000755329,nan,nan,0.00390259,1,-9.408,0.005,9.461,0.404575,0.404575,-0.000927746,0,0.404576,-0.000927659,0,0.404576,0.406778,-0.00129513,0,0.40678,1,0
53,1.113,0.00231251,0.0487628,8.53969e-14,0.000751397,nan,nan,0.00390102,1,-9.387,0.005,9.44012,0.40458,0.404581,-0.000945062,0,0.404582,-0.000944973,0,0.404582,0.406791,-0.00132058,0,0.406793,1,0
54,1.134,0.00231255,0.0487431,8.44793e-14,0.000747465,nan,nan,0.00389945,1,-9.366,0.005,9.41924,0.404586,0.404586,-0.000962378,0,0.404587,-0.000962287,0,0.404587,0.406805,-0.00134603,0,0.406807,1,0
55,1.155,0.0023126,0.0487235,8.35617e-14,0.000743533,nan,nan,0.00389788,1,-9.345,0.005,9.39835,0.404592,0.404592,-0.000979694,0,0.404593,-0.000979602,0,0.404593,0.406818,-0.00137149,0,0.40682,1,0
56,1.176,0.00231264,0.0487039,8.26442e-14,0.000739601,nan,nan,0.00389631,1,-9.324,0.005,9.37747,0.404598,0.404598,-0.00099701,0,0.404599,-0.000996916,0,0.404599,0.406831,-0.00139694,0,0.406834,1,0
57,1.197,0.00231269,0.0486843,8.17266e-14,0.000735668,nan,nan,0.00389474,1,-9.303,0.005,9.35659,0.404604,0.404604,-0.00101433,0,0.404605,-0.00101423,0,0.404605,0.406845,-0.00142239,0,0.406847,1,0
58,1.218,0.00231274,0.0486647,8.0809e-14,0.000731736,nan,nan,0.00389318,1,-9.282,0.005,9.33571,0.404609,0.404609,-0.00103164,0,0.404611,-0.00103155,0,0.404611,0.406858,-0.00144784,0,0.406861,1,0
59,1.239,0.00231278,0.0486451,7.98914e-14,0.000727804,nan,nan,0.00389161,1,-9.261,0.005,9.31483,0.404615,0.404615,-0.00104896,0,0.404617,-0.00104886,0,0.404616,0.406872,-0.00147329,0,0.406874,1,0
60,1.26,0.00231283,0.0486255,7.89738e-14,0.000723872,nan,nan,0.00389004,1,-9.24,0.005,9.29396,0.404621,0.404621,-0.00106628,0,0.404622,-0.00106617,0,0.404622,0.406885,-0.00149874,0,0.406888,1,0
61,1.281,0.00231287,0.0486059,7.80562e-14,0.00071994,nan,nan,0.00388847,1,-9.219,0.005,9.27308,0.404627,0.404627,-0.00108359,0,0.404628,-0.00108349,0,0.404628,0.406899,-0.00152419,0,0.406901,1,0
